Algorithm,Log Source,Log,Detected Changepoints,Actual Changepoints for Log,Duration (Seconds),Duration (hh:mm:ss),Parameter Settings
MDD,duration only drift,dataset_100cases_60min_ABD_noisy_20%.xes,ERROR,"[37, 75]",219.238,00:03:39,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml"", ""error"": ""Found array with 0 sample(s) (shape=(0, 1)) while a minimum of 1 is required by KMeans.""}"
MDD,duration only drift,dataset_100cases_60min_ABD_noisy_5%.xes,ERROR,"[37, 75]",223.5,00:03:43,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml"", ""error"": ""Found array with 0 sample(s) (shape=(0, 1)) while a minimum of 1 is required by KMeans.""}"
MDD,duration only drift,dataset_3000cases10min_ABD.xes,"[395, 555, 950, 1290, 1490, 1875, 2160, 2385, 2690]","[37, 75]",285.811,00:04:45,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases20min_ABD.xes,"[965, 2445, 2775]","[37, 75]",277.429,00:04:37,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases20min_ABD_noisy_10%.xes,"[470, 560, 1725, 1970, 2665]","[37, 75]",283.475,00:04:43,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases20min_ABD_noisy_20%.xes,"[260, 2375, 2740]","[37, 75]",285.952,00:04:45,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases30min_ABD.xes,"[245, 625, 790, 990, 1100, 1365, 1720, 2010, 2215, 2395, 2525, 2610]","[37, 75]",273.903,00:04:33,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases30min_ABD_noisy_10%.xes,"[990, 2120, 2250, 2375, 2760]","[37, 75]",284.193,00:04:44,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases30min_ABD_noisy_20%.xes,"[1620, 2200, 2385, 2605]","[37, 75]",285.727,00:04:45,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases30min_ABD_noisy_5%.xes,"[485, 1370, 1530, 2065, 2195, 2635]","[37, 75]",279.825,00:04:39,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases40min_ABD.xes,"[230, 845, 975, 1225, 1760, 1945, 2230]","[37, 75]",280.368,00:04:40,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases40min_ABD_noisy_10%.xes,"[975, 1375]","[37, 75]",284.485,00:04:44,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases40min_ABD_noisy_20%.xes,[1395],"[37, 75]",292.469,00:04:52,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases40min_ABD_noisy_5%.xes,"[860, 1240, 1380, 1990, 2310]","[37, 75]",278.113,00:04:38,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases50min_ABD.xes,[2265],"[37, 75]",277.567,00:04:37,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases50min_ABD_noisy_10%.xes,"[1390, 2210]","[37, 75]",282.776,00:04:42,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases50min_ABD_noisy_20%.xes,"[1410, 2185]","[37, 75]",286.462,00:04:46,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases50min_ABD_noisy_5%.xes,"[1380, 2190]","[37, 75]",283.931,00:04:43,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases60min_ABD.xes,[2265],"[37, 75]",284.496,00:04:44,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases60min_ABD_noisy_10%.xes,"[1395, 2215]","[37, 75]",281.716,00:04:41,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases60min_ABD_noisy_20%.xes,"[1420, 2220]","[37, 75]",292.622,00:04:52,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
MDD,duration only drift,dataset_3000cases60min_ABD_noisy_5%.xes,"[1400, 2215]","[37, 75]",280.389,00:04:40,"{""window_size"": 200, ""jump_dis"": 3, ""change_num"": 3, ""stepLen"": 10, ""trainfile"": ""cp5k.mxml""}"
